STATE/UT,Year,CAUSE,Male upto 14 years,Male 15-29 years,Male 30-44 years,Male 45-59 years,Male 60 years and above,Total Male,Female upto 14 years,Female 15-29 years,Female 30-44 years,Female 45-59 years,Female 60 years and above,Total Female,Grand Total,shortCode
ARUNACHAL PRADESH,2001,Total Salaried,0,17,26,3,0,46,0,5,4,0,0,9,55,AR
ARUNACHAL PRADESH,2001,Total Self-employed,2,3,11,7,1,24,0,5,0,0,0,5,29,AR
ASSAM,2001,Others (Please Specify),6,229,287,192,29,743,10,116,66,29,8,229,972,AS
ASSAM,2001,House Wife,0,0,0,0,0,0,0,158,161,68,7,394,394,AS
ASSAM,2001,Service (Government),0,7,25,13,0,45,0,0,2,0,0,2,47,AS
ASSAM,2001,Service (Private),0,46,49,32,4,131,0,13,12,3,0,28,159,AS
ASSAM,2001,Public Sector Undertaking,0,39,28,17,0,84,0,0,2,0,0,2,86,AS
ASSAM,2001,Student,29,86,6,0,0,121,9,55,6,0,0,70,191,AS
ASSAM,2001,Unemployed,0,108,124,59,5,296,0,21,14,3,0,38,334,AS
ASSAM,2001,Self-employed (Business activity),0,59,85,45,10,199,0,12,5,7,0,24,223,AS
ASSAM,2001,Professional Activity,0,16,36,15,0,67,0,1,0,0,0,1,68,AS
ASSAM,2001,Farming/Agriculture Activity,0,30,62,43,9,144,0,7,6,9,1,23,167,AS
ASSAM,2001,Retired Person,0,0,0,2,4,6,0,0,0,0,0,0,6,AS
ASSAM,2001,Total,35,620,702,418,61,1836,19,383,274,119,16,811,2647,AS
ASSAM,2001,Total Salaried,0,92,102,62,4,260,0,13,16,3,0,32,292,AS
ASSAM,2001,Total Self-employed,1,234,356,226,30,847,5,96,47,28,2,178,1025,AS
BIHAR,2001,Others (Please Specify),4,49,69,18,11,151,5,56,27,11,5,104,255,BR
BIHAR,2001,House Wife,0,0,0,0,0,0,0,62,62,13,3,140,140,BR
BIHAR,2001,Service (Government),0,1,4,0,0,5,0,1,0,0,0,1,6,BR
BIHAR,2001,Service (Private),0,11,3,0,1,15,0,3,0,0,0,3,18,BR
BIHAR,2001,Public Sector Undertaking,0,0,1,0,0,1,0,0,0,0,0,0,1,BR
BIHAR,2001,Student,3,34,2,0,0,39,6,17,2,0,0,25,64,BR
BIHAR,2001,Unemployed,1,13,6,1,1,22,2,10,2,2,0,16,38,BR
BIHAR,2001,Self-employed (Business activity),0,2,12,0,0,14,1,0,0,0,0,1,15,BR
BIHAR,2001,Professional Activity,0,2,1,0,0,3,0,0,0,0,0,0,3,BR
BIHAR,2001,Farming/Agriculture Activity,0,19,23,12,1,55,0,4,1,1,0,6,61,BR
BIHAR,2001,Retired Person,0,0,0,0,2,2,0,0,0,0,0,0,2,BR
BIHAR,2001,Total,8,131,121,31,16,307,14,153,94,27,8,296,603,BR
BIHAR,2001,Total Salaried,0,12,8,0,1,21,0,4,0,0,0,4,25,BR
BIHAR,2001,Total Self-employed,3,45,43,13,2,106,1,11,8,1,0,21,127,BR
CHANDIGARH,2001,Others (Please Specify),0,9,10,1,1,21,0,5,5,0,0,10,31,CH
CHANDIGARH,2001,House Wife,0,0,0,0,0,0,0,11,6,2,0,19,19,CH
CHANDIGARH,2001,Service (Government),0,1,1,1,0,3,0,0,0,0,0,0,3,CH
CHANDIGARH,2001,Service (Private),0,4,4,0,0,8,0,0,0,0,0,0,8,CH
CHANDIGARH,2001,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,CH
CHANDIGARH,2001,Student,0,4,0,0,0,4,0,2,0,0,0,2,6,CH
CHANDIGARH,2001,Unemployed,0,1,0,0,0,1,0,0,0,0,0,0,1,CH
CHANDIGARH,2001,Self-employed (Business activity),0,1,0,0,0,1,0,0,0,0,0,0,1,CH
CHANDIGARH,2001,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,CH
CHANDIGARH,2001,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,CH
CHANDIGARH,2001,Retired Person,0,0,0,0,1,1,0,0,0,0,0,0,1,CH
CHANDIGARH,2001,Total,0,20,15,2,2,39,0,18,11,2,0,31,70,CH
CHANDIGARH,2001,Total Salaried,0,5,5,1,0,11,0,0,0,0,0,0,11,CH
CHANDIGARH,2001,Total Self-employed,0,3,4,0,0,7,0,0,0,0,0,0,7,CH
CHHATTISGARH,2001,Others (Please Specify),18,198,245,167,87,715,17,148,106,65,40,376,1091,CG
CHHATTISGARH,2001,House Wife,0,0,0,0,0,0,3,301,202,74,26,606,606,CG
CHHATTISGARH,2001,Service (Government),0,11,36,15,1,63,0,4,2,1,0,7,70,CG
CHHATTISGARH,2001,Service (Private),0,47,81,33,6,167,1,6,2,1,0,10,177,CG
CHHATTISGARH,2001,Public Sector Undertaking,0,9,31,16,3,59,0,2,3,1,0,6,65,CG
CHHATTISGARH,2001,Student,17,100,17,0,0,134,23,69,3,0,0,95,229,CG
CHHATTISGARH,2001,Unemployed,0,100,69,17,7,193,0,19,6,0,0,25,218,CG
CHHATTISGARH,2001,Self-employed (Business activity),1,21,30,9,5,66,0,2,0,0,0,2,68,CG
CHHATTISGARH,2001,Professional Activity,0,12,14,4,2,32,0,2,2,0,0,4,36,CG
CHHATTISGARH,2001,Farming/Agriculture Activity,8,286,429,302,173,1198,5,81,92,51,25,254,1452,CG
CHHATTISGARH,2001,Retired Person,0,8,3,0,2,13,0,0,0,0,0,0,13,CG
CHHATTISGARH,2001,Total,44,792,955,563,286,2640,49,634,418,193,91,1385,4025,CG
CHHATTISGARH,2001,Total Salaried,0,67,148,64,10,289,1,12,7,3,0,23,312,CG
CHHATTISGARH,2001,Total Self-employed,19,452,615,421,233,1740,11,159,155,96,51,472,2212,CG
D & N HAVELI,2001,Others (Please Specify),0,0,0,3,0,3,0,0,1,1,0,2,5,DN
D & N HAVELI,2001,House Wife,0,0,0,0,0,0,1,9,3,0,0,13,13,DN
D & N HAVELI,2001,Service (Government),0,0,0,0,0,0,0,0,0,0,0,0,0,DN
D & N HAVELI,2001,Service (Private),0,1,3,1,0,5,0,0,0,0,0,0,5,DN
D & N HAVELI,2001,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,DN
D & N HAVELI,2001,Student,0,0,0,0,0,0,0,0,0,0,0,0,0,DN
D & N HAVELI,2001,Unemployed,0,5,3,0,0,8,0,0,0,0,0,0,8,DN
D & N HAVELI,2001,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0,DN
D & N HAVELI,2001,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,DN
D & N HAVELI,2001,Farming/Agriculture Activity,0,4,4,3,8,19,0,0,0,0,0,0,19,DN
D & N HAVELI,2001,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0,DN
D & N HAVELI,2001,Total,0,10,10,7,8,35,1,9,4,1,0,15,50,DN
D & N HAVELI,2001,Total Salaried,0,1,3,1,0,5,0,0,0,0,0,0,5,DN
D & N HAVELI,2001,Total Self-employed,0,4,4,5,8,21,0,0,0,1,0,1,22,DN
DAMAN & DIU,2001,Others (Please Specify),0,2,2,0,0,4,0,0,0,0,0,0,4,DD
DAMAN & DIU,2001,House Wife,0,0,0,0,0,0,0,3,0,0,0,3,3,DD
DAMAN & DIU,2001,Service (Government),0,0,0,0,0,0,0,0,0,0,0,0,0,DD
DAMAN & DIU,2001,Service (Private),0,2,3,0,0,5,0,1,0,0,0,1,6,DD
DAMAN & DIU,2001,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,DD
DAMAN & DIU,2001,Student,0,0,0,0,0,0,0,0,0,0,0,0,0,DD
DAMAN & DIU,2001,Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0,DD
DAMAN & DIU,2001,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0,DD
DAMAN & DIU,2001,Professional Activity,0,0,1,0,0,1,0,0,0,0,0,0,1,DD
DAMAN & DIU,2001,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,DD
DAMAN & DIU,2001,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0,DD
DAMAN & DIU,2001,Total,0,4,6,0,0,10,0,4,0,0,0,4,14,DD
DAMAN & DIU,2001,Total Salaried,0,2,3,0,0,5,0,1,0,0,0,1,6,DD
DAMAN & DIU,2001,Total Self-employed,0,1,3,0,0,4,0,0,0,0,0,0,4,DD
DELHI (UT),2001,Others (Please Specify),5,76,86,38,15,220,10,43,34,4,3,94,314,DL
DELHI (UT),2001,House Wife,0,0,0,0,0,0,0,174,118,27,8,327,327,DL
DELHI (UT),2001,Service (Government),0,11,13,5,0,29,0,1,1,0,0,2,31,DL
DELHI (UT),2001,Service (Private),0,68,51,27,1,147,0,12,1,0,0,13,160,DL
DELHI (UT),2001,Public Sector Undertaking,0,10,6,2,1,19,0,1,0,0,0,1,20,DL
DELHI (UT),2001,Student,9,42,4,0,0,55,14,35,0,0,0,49,104,DL
DELHI (UT),2001,Unemployed,1,91,76,34,7,209,4,13,3,0,0,20,229,DL
DELHI (UT),2001,Self-employed (Business activity),0,6,13,4,0,23,0,0,0,0,0,0,23,DL
DELHI (UT),2001,Professional Activity,0,3,4,4,0,11,0,1,0,0,0,1,12,DL
DELHI (UT),2001,Farming/Agriculture Activity,0,8,7,1,0,16,0,2,0,0,0,2,18,DL
DELHI (UT),2001,Retired Person,0,0,0,0,1,1,0,0,0,0,0,0,1,DL
DELHI (UT),2001,Total,15,315,260,115,25,730,28,282,157,31,11,509,1239,DL
DELHI (UT),2001,Total Salaried,0,89,70,34,2,195,0,14,2,0,0,16,211,DL
DELHI (UT),2001,Total Self-employed,3,84,100,41,8,236,6,46,31,1,3,87,323,DL
GOA,2001,Others (Please Specify),0,9,13,9,5,36,0,2,2,0,3,7,43,GA
GOA,2001,House Wife,0,0,0,0,0,0,0,11,24,6,14,55,55,GA
GOA,2001,Service (Government),0,0,2,2,0,4,0,0,1,0,1,2,6,GA
GOA,2001,Service (Private),0,11,29,6,0,46,0,5,1,0,0,6,52,GA
GOA,2001,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,GA
GOA,2001,Student,0,4,0,0,0,4,3,6,0,0,0,9,13,GA
GOA,2001,Unemployed,0,17,21,3,3,44,0,6,4,0,0,10,54,GA
GOA,2001,Self-employed (Business activity),0,1,2,6,1,10,0,0,0,0,0,0,10,GA
GOA,2001,Professional Activity,0,0,2,0,0,2,0,0,0,0,0,0,2,GA
GOA,2001,Farming/Agriculture Activity,0,1,4,9,4,18,0,0,0,0,0,0,18,GA
GOA,2001,Retired Person,0,0,0,0,3,3,0,0,0,0,0,0,3,GA
GOA,2001,Total,0,43,73,35,16,167,3,30,32,6,18,89,256,GA
GOA,2001,Total Salaried,0,11,31,8,0,50,0,5,2,0,1,8,58,GA
GOA,2001,Total Self-employed,0,6,13,17,5,41,0,2,0,0,2,4,45,GA
GUJARAT,2001,Others (Please Specify),9,151,178,55,24,417,7,85,35,24,12,163,580,GJ
GUJARAT,2001,House Wife,0,0,0,0,0,0,15,736,534,199,84,1568,1568,GJ
GUJARAT,2001,Service (Government),0,12,26,24,0,62,0,3,5,0,0,8,70,GJ
GUJARAT,2001,Service (Private),0,145,169,45,6,365,0,18,14,7,0,39,404,GJ
GUJARAT,2001,Public Sector Undertaking,0,22,47,21,2,92,0,8,4,3,0,15,107,GJ
GUJARAT,2001,Student,19,109,6,0,0,134,28,101,1,0,0,130,264,GJ
GUJARAT,2001,Unemployed,5,210,137,66,8,426,6,27,28,10,0,71,497,GJ
GUJARAT,2001,Self-employed (Business activity),6,67,116,58,8,255,0,0,1,0,0,1,256,GJ
GUJARAT,2001,Professional Activity,0,98,127,86,14,325,0,18,5,2,2,27,352,GJ
GUJARAT,2001,Farming/Agriculture Activity,1,188,213,84,31,517,2,34,30,7,4,77,594,GJ
GUJARAT,2001,Retired Person,0,0,0,13,43,56,0,0,0,5,38,43,99,GJ
GUJARAT,2001,Total,40,1002,1019,452,136,2649,58,1030,657,257,140,2142,4791,GJ
GUJARAT,2001,Total Salaried,0,179,242,90,8,519,0,29,23,10,0,62,581,GJ
GUJARAT,2001,Total Self-employed,11,467,600,274,67,1419,6,109,58,22,16,211,1630,GJ
HARYANA,2001,Others (Please Specify),6,145,241,109,40,541,6,56,51,11,8,132,673,HR
HARYANA,2001,House Wife,0,0,0,0,0,0,0,167,104,15,11,297,297,HR
HARYANA,2001,Service (Government),0,25,32,16,0,73,0,0,13,8,0,21,94,HR
HARYANA,2001,Service (Private),0,40,45,13,0,98,0,24,15,6,2,47,145,HR
HARYANA,2001,Public Sector Undertaking,0,33,29,4,0,66,0,14,13,1,0,28,94,HR
HARYANA,2001,Student,15,64,8,0,0,87,7,29,2,3,0,41,128,HR
HARYANA,2001,Unemployed,13,117,52,42,3,227,7,26,18,9,0,60,287,HR
HARYANA,2001,Self-employed (Business activity),0,28,16,12,1,57,0,0,0,0,0,0,57,HR
HARYANA,2001,Professional Activity,0,17,33,12,2,64,0,0,1,0,0,1,65,HR
HARYANA,2001,Farming/Agriculture Activity,0,50,43,27,13,133,0,6,3,3,0,12,145,HR
HARYANA,2001,Retired Person,0,0,0,1,17,18,0,0,0,0,4,4,22,HR
HARYANA,2001,Total,34,519,499,236,76,1364,20,322,220,56,25,643,2007,HR
HARYANA,2001,Total Salaried,0,98,106,33,0,237,0,38,41,15,2,96,333,HR
HARYANA,2001,Total Self-employed,0,122,143,65,27,357,0,10,21,6,4,41,398,HR
HIMACHAL PRADESH,2001,Others (Please Specify),1,15,22,21,6,65,1,9,9,2,3,24,89,HP
HIMACHAL PRADESH,2001,House Wife,0,0,0,0,0,0,0,44,26,12,2,84,84,HP
HIMACHAL PRADESH,2001,Service (Government),0,0,5,3,0,8,0,2,1,0,0,3,11,HP
HIMACHAL PRADESH,2001,Service (Private),0,6,9,8,1,24,0,0,0,0,0,0,24,HP
HIMACHAL PRADESH,2001,Public Sector Undertaking,0,0,3,4,0,7,0,0,0,0,0,0,7,HP
HIMACHAL PRADESH,2001,Student,0,8,0,0,0,8,2,9,0,0,0,11,19,HP
HIMACHAL PRADESH,2001,Unemployed,0,18,9,4,0,31,0,6,1,0,0,7,38,HP
HIMACHAL PRADESH,2001,Self-employed (Business activity),0,4,5,0,0,9,0,0,0,0,0,0,9,HP
HIMACHAL PRADESH,2001,Professional Activity,0,0,2,0,0,2,0,0,1,0,0,1,3,HP
HIMACHAL PRADESH,2001,Farming/Agriculture Activity,0,3,9,8,2,22,0,0,0,0,0,0,22,HP
HIMACHAL PRADESH,2001,Retired Person,0,0,0,1,0,1,0,0,0,0,0,0,1,HP
HIMACHAL PRADESH,2001,Total,1,54,64,49,9,177,3,70,38,14,5,130,307,HP
HIMACHAL PRADESH,2001,Total Salaried,0,6,17,15,1,39,0,2,1,0,0,3,42,HP
HIMACHAL PRADESH,2001,Total Self-employed,0,8,22,13,3,46,0,0,7,0,0,7,53,HP
JAMMU & KASHMIR,2001,Others (Please Specify),0,14,12,10,10,46,1,9,7,0,2,19,65,JK
JAMMU & KASHMIR,2001,House Wife,0,0,0,0,0,0,0,18,13,4,1,36,36,JK
JAMMU & KASHMIR,2001,Service (Government),0,1,7,1,0,9,0,0,0,0,0,0,9,JK
JAMMU & KASHMIR,2001,Service (Private),0,0,2,0,0,2,0,0,0,0,0,0,2,JK
JAMMU & KASHMIR,2001,Public Sector Undertaking,0,0,1,0,0,1,0,0,0,0,0,0,1,JK
JAMMU & KASHMIR,2001,Student,0,5,0,0,0,5,0,1,0,0,0,1,6,JK
JAMMU & KASHMIR,2001,Unemployed,0,3,4,4,1,12,0,3,0,0,0,3,15,JK
JAMMU & KASHMIR,2001,Self-employed (Business activity),0,1,1,0,0,2,0,0,0,0,0,0,2,JK
JAMMU & KASHMIR,2001,Professional Activity,2,0,0,0,0,2,0,0,0,0,0,0,2,JK
JAMMU & KASHMIR,2001,Farming/Agriculture Activity,0,5,4,3,0,12,1,0,1,1,0,3,15,JK
JAMMU & KASHMIR,2001,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0,JK
JAMMU & KASHMIR,2001,Total,2,29,31,18,11,91,2,31,21,5,3,62,153,JK
JAMMU & KASHMIR,2001,Total Salaried,0,1,10,1,0,12,0,0,0,0,0,0,12,JK
JAMMU & KASHMIR,2001,Total Self-employed,2,9,9,4,0,24,1,4,1,1,0,7,31,JK
JHARKHAND,2001,Others (Please Specify),1,25,23,18,9,76,4,19,6,15,0,44,120,JH
JHARKHAND,2001,House Wife,0,0,0,0,0,0,1,29,21,8,0,59,59,JH
JHARKHAND,2001,Service (Government),0,0,0,0,0,0,0,0,0,0,0,0,0,JH
JHARKHAND,2001,Service (Private),0,0,3,1,0,4,0,0,2,0,0,2,6,JH
JHARKHAND,2001,Public Sector Undertaking,0,0,3,0,0,3,0,0,2,0,0,2,5,JH
JHARKHAND,2001,Student,3,3,0,0,0,6,0,1,0,0,0,1,7,JH
JHARKHAND,2001,Unemployed,0,9,7,1,1,18,0,1,0,0,0,1,19,JH
JHARKHAND,2001,Self-employed (Business activity),0,0,1,0,0,1,0,0,0,0,0,0,1,JH
JHARKHAND,2001,Professional Activity,0,3,2,1,0,6,0,0,0,0,0,0,6,JH
JHARKHAND,2001,Farming/Agriculture Activity,0,5,17,5,0,27,0,0,0,0,0,0,27,JH
JHARKHAND,2001,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0,JH
JHARKHAND,2001,Total,4,45,56,26,10,141,5,50,31,23,0,109,250,JH
JHARKHAND,2001,Total Salaried,0,0,6,1,0,7,0,0,4,0,0,4,11,JH
JHARKHAND,2001,Total Self-employed,0,26,31,13,0,70,1,12,0,2,0,15,85,JH
KARNATAKA,2001,Others (Please Specify),68,614,971,646,346,2645,83,321,184,160,90,838,3483,KA
KARNATAKA,2001,House Wife,0,0,0,0,0,0,10,1008,707,334,138,2197,2197,KA
KARNATAKA,2001,Service (Government),0,35,108,67,1,211,0,23,24,12,0,59,270,KA
KARNATAKA,2001,Service (Private),3,241,352,190,79,865,6,111,40,31,12,200,1065,KA
KARNATAKA,2001,Public Sector Undertaking,0,66,95,60,7,228,0,15,0,0,0,15,243,KA
KARNATAKA,2001,Student,72,230,26,1,0,329,60,120,1,2,0,183,512,KA
KARNATAKA,2001,Unemployed,6,225,207,103,17,558,5,48,23,5,4,85,643,KA
KARNATAKA,2001,Self-employed (Business activity),5,195,221,133,37,591,2,22,7,3,0,34,625,KA
KARNATAKA,2001,Professional Activity,1,69,71,41,13,195,1,6,1,0,0,8,203,KA
KARNATAKA,2001,Farming/Agriculture Activity,25,551,811,579,187,2153,17,138,117,68,12,352,2505,KA
KARNATAKA,2001,Retired Person,0,16,18,16,46,96,0,5,14,11,9,39,135,KA
KARNATAKA,2001,Total,180,2242,2880,1836,733,7871,184,1817,1118,626,265,4010,11881,KA
KARNATAKA,2001,Total Salaried,3,342,555,317,87,1304,6,149,64,43,12,274,1578,KA
KARNATAKA,2001,Total Self-employed,79,1256,1811,1237,503,4886,56,367,255,162,71,911,5797,KA
KERALA,2001,Others (Please Specify),6,409,719,725,486,2345,12,168,155,152,101,588,2933,KL
KERALA,2001,House Wife,0,0,0,0,0,0,0,290,475,394,247,1406,1406,KL
KERALA,2001,Service (Government),0,10,53,111,2,176,0,7,15,9,0,31,207,KL
KERALA,2001,Service (Private),0,73,145,139,92,449,0,25,33,24,35,117,566,KL
KERALA,2001,Public Sector Undertaking,0,35,48,63,37,183,0,3,12,10,2,27,210,KL
KERALA,2001,Student,37,90,1,0,0,128,33,119,1,0,0,153,281,KL
KERALA,2001,Unemployed,0,312,550,560,334,1756,3,155,74,41,66,339,2095,KL
KERALA,2001,Self-employed (Business activity),0,56,187,177,55,475,0,7,5,9,1,22,497,KL
KERALA,2001,Professional Activity,0,30,77,74,21,202,0,2,9,8,2,21,223,KL
KERALA,2001,Farming/Agriculture Activity,0,93,325,362,194,974,0,18,17,12,14,61,1035,KL
KERALA,2001,Retired Person,0,1,2,29,67,99,0,0,2,7,11,20,119,KL
KERALA,2001,Total,43,1109,2107,2240,1288,6787,48,794,798,666,479,2785,9572,KL
KERALA,2001,Total Salaried,0,118,246,313,131,808,0,35,60,43,37,175,983,KL
KERALA,2001,Total Self-employed,6,449,1045,1117,569,3186,3,107,95,112,79,396,3582,KL
LAKSHADWEEP,2001,Others (Please Specify),0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,House Wife,0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Service (Government),0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Service (Private),0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Public Sector Undertaking,0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Student,0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Unemployed,0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Self-employed (Business activity),0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Professional Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Farming/Agriculture Activity,0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Retired Person,0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Total Salaried,0,0,0,0,0,0,0,0,0,0,0,0,0,LD
LAKSHADWEEP,2001,Total Self-employed,0,0,0,0,0,0,0,0,0,0,0,0,0,LD
MADHYA PRADESH,2001,Others (Please Specify),73,437,352,197,125,1184,62,228,107,58,38,493,1677,MP
MADHYA PRADESH,2001,House Wife,0,0,0,0,0,0,14,1346,553,201,87,2201,2201,MP
MADHYA PRADESH,2001,Service (Government),0,59,54,40,1,154,0,13,12,3,0,28,182,MP
MADHYA PRADESH,2001,Service (Private),0,142,108,40,4,294,0,48,10,5,0,63,357,MP
MADHYA PRADESH,2001,Public Sector Undertaking,0,43,10,9,0,62,0,36,6,2,0,44,106,MP
MADHYA PRADESH,2001,Student,50,147,11,3,0,211,32,62,0,0,0,94,305,MP
MADHYA PRADESH,2001,Unemployed,2,91,63,23,18,197,2,11,0,0,0,13,210,MP
MADHYA PRADESH,2001,Self-employed (Business activity),0,71,83,40,23,217,0,28,21,11,11,71,288,MP
MADHYA PRADESH,2001,Professional Activity,0,30,64,20,12,126,0,4,8,7,3,22,148,MP
MADHYA PRADESH,2001,Farming/Agriculture Activity,5,397,384,198,94,1078,5,142,95,31,21,294,1372,MP
MADHYA PRADESH,2001,Retired Person,0,0,0,0,13,13,0,0,0,0,1,1,14,MP
MADHYA PRADESH,2001,Total,130,1417,1129,570,290,3536,115,1918,812,318,161,3324,6860,MP
MADHYA PRADESH,2001,Total Salaried,0,244,172,89,5,510,0,97,28,10,0,135,645,MP
MADHYA PRADESH,2001,Total Self-employed,45,728,725,406,214,2118,48,279,183,79,49,638,2756,MP
MAHARASHTRA,2001,Others (Please Specify),36,683,1054,500,297,2570,33,243,213,84,42,615,3185,MH
MAHARASHTRA,2001,House Wife,0,0,0,0,0,0,9,1663,1078,394,207,3351,3351,MH
